date,category,product_name,sku,price,quantity,sales_amount,region,stock
2026-06-05,服饰,纯棉基础T恤,FS-001,15.0,9,135.0,JP,440
2026-06-06,家居,环保不锈钢水瓶,HM-001,19.9,36,716.4,US,215
2026-06-07,家居,硅胶折叠餐盒,HM-002,12.5,18,225.0,EU,429
2026-06-08,电子,无线蓝牙耳机,EL-001,39.9,51,2034.9,UK,369
2026-06-09,电子,LED护眼台灯,EL-002,29.9,5,149.5,JP,11
2026-06-10,美妆,天然芦荟面膜,BZ-001,9.9,7,69.3,US,63
2026-06-11,服饰,纯棉基础T恤,FS-001,15.0,43,645.0,EU,269
2026-06-12,家居,环保不锈钢水瓶,HM-001,19.9,55,1094.5,UK,486
2026-06-13,家居,硅胶折叠餐盒,HM-002,12.5,19,237.5,JP,227
2026-06-14,电子,无线蓝牙耳机,EL-001,39.9,45,1795.5,US,171
2026-06-15,电子,LED护眼台灯,EL-002,29.9,11,328.9,EU,455
2026-06-16,美妆,天然芦荟面膜,BZ-001,9.9,37,366.3,UK,279
2026-06-17,服饰,纯棉基础T恤,FS-001,15.0,32,480.0,JP,313
2026-06-18,家居,环保不锈钢水瓶,HM-001,19.9,16,318.4,US,465
2026-06-19,家居,硅胶折叠餐盒,HM-002,12.5,15,187.5,EU,224
2026-06-20,电子,无线蓝牙耳机,EL-001,39.9,58,2314.2,UK,199
2026-06-21,电子,LED护眼台灯,EL-002,29.9,41,1225.9,JP,222
2026-06-22,美妆,天然芦荟面膜,BZ-001,9.9,17,168.3,US,246
2026-06-23,服饰,纯棉基础T恤,FS-001,15.0,19,285.0,EU,376
2026-06-24,家居,环保不锈钢水瓶,HM-001,19.9,54,1074.6,UK,289
2026-06-25,家居,硅胶折叠餐盒,HM-002,12.5,27,337.5,JP,226
2026-06-26,电子,无线蓝牙耳机,EL-001,39.9,46,1835.4,US,50
2026-06-27,电子,LED护眼台灯,EL-002,29.9,30,897.0,EU,24
2026-06-28,美妆,天然芦荟面膜,BZ-001,9.9,46,455.4,UK,74
2026-06-29,服饰,纯棉基础T恤,FS-001,15.0,26,390.0,JP,336
2026-06-30,家居,环保不锈钢水瓶,HM-001,19.9,10,199.0,US,353
2026-07-01,家居,硅胶折叠餐盒,HM-002,12.5,2,25.0,EU,145
2026-07-02,电子,无线蓝牙耳机,EL-001,39.9,25,997.5,UK,72
2026-07-03,电子,LED护眼台灯,EL-002,29.9,12,358.8,JP,90
2026-07-04,美妆,天然芦荟面膜,BZ-001,9.9,9,89.1,US,172
2026-07-05,服饰,纯棉基础T恤,FS-001,15.0,36,540.0,EU,298
2026-07-06,家居,环保不锈钢水瓶,HM-001,19.9,6,119.4,UK,499
2026-07-07,家居,硅胶折叠餐盒,HM-002,12.5,40,500.0,JP,50
2026-07-08,电子,无线蓝牙耳机,EL-001,39.9,29,1157.1,US,144
2026-07-09,电子,LED护眼台灯,EL-002,29.9,10,299.0,EU,337
2026-07-10,美妆,天然芦荟面膜,BZ-001,9.9,13,128.7,UK,427
2026-07-11,服饰,纯棉基础T恤,FS-001,15.0,34,510.0,JP,57
2026-07-12,家居,环保不锈钢水瓶,HM-001,19.9,56,1114.4,US,416
2026-07-13,家居,硅胶折叠餐盒,HM-002,12.5,25,312.5,EU,302
2026-07-14,电子,无线蓝牙耳机,EL-001,39.9,36,1436.4,UK,181
2026-07-15,电子,LED护眼台灯,EL-002,29.9,41,1225.9,JP,223
2026-07-16,美妆,天然芦荟面膜,BZ-001,9.9,28,277.2,US,44
2026-07-17,服饰,纯棉基础T恤,FS-001,15.0,2,30.0,EU,236
2026-07-18,家居,环保不锈钢水瓶,HM-001,19.9,38,756.2,UK,440
2026-07-19,家居,硅胶折叠餐盒,HM-002,12.5,15,187.5,JP,140
2026-07-20,电子,无线蓝牙耳机,EL-001,39.9,2,79.8,US,14
2026-07-21,电子,LED护眼台灯,EL-002,29.9,27,807.3,EU,264
2026-07-22,美妆,天然芦荟面膜,BZ-001,9.9,15,148.5,UK,368
2026-07-23,服饰,纯棉基础T恤,FS-001,15.0,28,420.0,JP,402
2026-07-24,家居,环保不锈钢水瓶,HM-001,19.9,16,318.4,US,24
2026-07-25,家居,硅胶折叠餐盒,HM-002,12.5,27,337.5,EU,51
2026-07-26,电子,无线蓝牙耳机,EL-001,39.9,14,558.6,UK,188
2026-07-27,电子,LED护眼台灯,EL-002,29.9,33,986.7,JP,240
2026-07-28,美妆,天然芦荟面膜,BZ-001,9.9,50,495.0,US,61
2026-07-29,服饰,纯棉基础T恤,FS-001,15.0,33,495.0,EU,397
2026-07-30,家居,环保不锈钢水瓶,HM-001,19.9,31,616.9,UK,494
2026-07-31,家居,硅胶折叠餐盒,HM-002,12.5,24,300.0,JP,240
2026-08-01,电子,无线蓝牙耳机,EL-001,39.9,46,1835.4,US,152
2026-08-02,电子,LED护眼台灯,EL-002,29.9,44,1315.6,EU,38
2026-08-03,美妆,天然芦荟面膜,BZ-001,9.9,37,366.3,UK,22
2026-08-04,服饰,纯棉基础T恤,FS-001,15.0,33,495.0,JP,336
2026-08-05,家居,环保不锈钢水瓶,HM-001,19.9,52,1034.8,US,95
2026-08-06,家居,硅胶折叠餐盒,HM-002,12.5,29,362.5,EU,75
2026-08-07,电子,无线蓝牙耳机,EL-001,39.9,43,1715.7,UK,54
2026-08-08,电子,LED护眼台灯,EL-002,29.9,58,1734.2,JP,143
2026-08-09,美妆,天然芦荟面膜,BZ-001,9.9,29,287.1,US,37
2026-08-10,服饰,纯棉基础T恤,FS-001,15.0,45,675.0,EU,53
2026-05-01,家居,环保不锈钢水瓶,HM-001,19.9,21,417.9,UK,295
2026-05-02,家居,硅胶折叠餐盒,HM-002,12.5,12,150.0,JP,137
2026-05-03,电子,无线蓝牙耳机,EL-001,39.9,59,2354.1,US,357
2026-05-04,电子,LED护眼台灯,EL-002,29.9,26,777.4,EU,240
2026-05-05,美妆,天然芦荟面膜,BZ-001,9.9,34,336.6,UK,394
2026-05-06,服饰,纯棉基础T恤,FS-001,15.0,58,870.0,JP,292
2026-05-07,家居,环保不锈钢水瓶,HM-001,19.9,58,1154.2,US,125
2026-05-08,家居,硅胶折叠餐盒,HM-002,12.5,14,175.0,EU,242
2026-05-09,电子,无线蓝牙耳机,EL-001,39.9,4,159.6,UK,368
2026-05-10,电子,LED护眼台灯,EL-002,29.9,7,209.3,JP,465
2026-05-11,美妆,天然芦荟面膜,BZ-001,9.9,28,277.2,US,146
2026-05-12,服饰,纯棉基础T恤,FS-001,15.0,38,570.0,EU,234
2026-05-13,家居,环保不锈钢水瓶,HM-001,19.9,52,1034.8,UK,243
2026-05-14,家居,硅胶折叠餐盒,HM-002,12.5,45,562.5,JP,161
2026-05-15,电子,无线蓝牙耳机,EL-001,39.9,16,638.4,US,324
2026-05-16,电子,LED护眼台灯,EL-002,29.9,55,1644.5,EU,169
2026-05-17,美妆,天然芦荟面膜,BZ-001,9.9,33,326.7,UK,481
2026-05-18,服饰,纯棉基础T恤,FS-001,15.0,42,630.0,JP,189
